Sample Type,File Name,Path,Instrument Method,Position,Inj Vol,Sample Name
Unknown,CMP016_022723_Lumos_BC_Pro_11_18_filtrate_3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:E4,5,Pro_11-18_filtrate_3 neg
Unknown,CMP009_022723_Lumos_BC_Syn_10_30_filtrate_3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:E5,5,Syn_10-30_filtrate_3 neg
Unknown,CMP008_022723_Lumos_BC_MM_10_10_filtrate_2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:E6,5,MM_10-10_filtrate_2 neg
Unknown,CMP016_022723_Lumos_BC_Pro_11_18_filtrate_6,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:E7,5,Pro_11-18_filtrate_6 neg
Unknown,CMP007_022723_Lumos_BC_Ehux_9_22_filtrate_5,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:E8,5,Ehux_9-22_filtrate_5 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:E9,5,Tpsu_9-24_filtrate_2 neg
Unknown,CMP014_022723_Lumos_BC_Tpsu_9_24_filtrate_4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:F1,5,Tpsu_9-24_filtrate_4 neg
Unknown,CMP_exomtab_022723_Lumos_BC_pool_09,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:A3,5,CMP_exomtab_pool neg
Unknown,CMP009_022723_Lumos_BC_Syn_10_30_filtrate_5,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:F2,5,Syn_10-30_filtrate_5 neg
Unknown,CMP007_022723_Lumos_BC_Ehux_9_22_filtrate_2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:F3,5,Ehux_9-22_filtrate_2 neg
