Metabolite,LOD,LOQ,Croco_10-7_filtrate_1,Croco_10-7_filtrate_2,Croco_10-7_filtrate_3,Croco_10-7_filtrate_4,Croco_10-7_filtrate_5,Croco_10-7_filtrate_6,Croco_10-7_filtrate_B1,Croco_10-7_filtrate_B2,Croco_10-7_filtrate_B3,Croco_10-7_filtrate_B4,Ehux_9-22_filtrate_1,Ehux_9-22_filtrate_2,Ehux_9-22_filtrate_3,Ehux_9-22_filtrate_4,Ehux_9-22_filtrate_5,Ehux_9-22_filtrate_6,Ehux_9-22_filtrate_B1,Ehux_9-22_filtrate_B2,Ehux_9-22_filtrate_B3,Ehux_9-22_filtrate_B4,MM_10-10_filtrate_1,MM_10-10_filtrate_2,MM_10-10_filtrate_3,MM_10-10_filtrate_4,MM_10-10_filtrate_5,MM_10-10_filtrate_6,MM_10-10_filtrate_B1,MM_10-10_filtrate_B2,MM_10-10_filtrate_B3,MM_10-10_filtrate_B4,Pro_11-18_filtrate_1,Pro_11-18_filtrate_2,Pro_11-18_filtrate_3,Pro_11-18_filtrate_4,Pro_11-18_filtrate_5,Pro_11-18_filtrate_6,Pro_11-18_filtrate_B1,Pro_11-18_filtrate_B2,Syn_10-30_filtrate_1,Syn_10-30_filtrate_2,Syn_10-30_filtrate_3,Syn_10-30_filtrate_4,Syn_10-30_filtrate_5,Syn_10-30_filtrate_6,Syn_10-30_filtrate_B1,Syn_10-30_filtrate_B2,Syn_10-30_filtrate_B3,Syn_10-30_filtrate_B4,Tpsu_9-24_filtrate_1,Tpsu_9-24_filtrate_2,Tpsu_9-24_filtrate_3,Tpsu_9-24_filtrate_4,Tpsu_9-24_filtrate_5,Tpsu_9-24_filtrate_6,Tpsu_9-24_filtrate_B1,Tpsu_9-24_filtrate_B2,Tpsu_9-24_filtrate_B3,Tpsu_9-24_filtrate_B4,pool01,pool02,pool03,pool04,pool05,pool06,pool07,pool08,pool09,pool10,pool11
"S-(1,2-dicarboxyethyl) glutathione pos",0.00890918355289999,0.0269975259178788,0.312496575053681,0.284939501109732,0.292446616017388,0.278050001892377,0.284979018351425,0.26089772392467,0.00865621300250112,0.00972136700463211,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00932418567347671,0.00890968494943366,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.0610738359328591,0.0537350959883795,0.0524526723554032,0.0533578323336704,0.0523038229365414,0.0461864601696042,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.0100309405537565,0.00865621300250112,0.00865621300250112,0.00973375570813691,0.0101300953715557,0.00865621300250112,0.0091711542805862,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.0108389309853974,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.0100665042464887,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.00865621300250112,0.0100965108977051,0.00865621300250112,0.00865621300250112,0.0339321474252158,0.0389494503889456,0.0216404797724157,0.0347497262715418,0.0354123931845268,0.0356562949853616,0.0334740571642736,0.0409444211191338,0.0337890278559841,0.0320161055247663,0.0264836448973364
"alanine neg",0.387212115230576,1.17337004615326,80.0468102643713,50.3645826035952,61.7091089672397,45.3451917241215,39.9561152146352,42.7317355530867,2.96392534715226,5.94444308457911,3.19399787813347,3.5727364789984,0,0.573039608641584,6.24676605301243,3.25748248751224,1.23713086770112,2.63209009639553,0.995240094898103,1.72470758919846,4.957285612478,2.31892156061182,80.2270211741657,90.1997272973069,113.910369912073,119.700860262156,93.8025511224531,115.769532153206,1.74262811912067,2.53338697776644,1.05818483455428,2.33698525830479,94.9914129159413,74.0655945651358,78.4616846683228,103.966000015197,119.928524406515,83.5513138080408,2.13582112713335,3.3859933254277,15.8860541843418,6.27343008893814,20.1373339566056,4.94869389874243,7.1177606152696,6.20748497409924,3.06231591114027,4.93282754469797,4.1996657490649,3.55223343895762,29.6886645333097,31.7162561311931,32.1534640228141,29.7440408575387,32.6598952344173,31.7116126955795,1.02758556588037,2.02472176126271,3.73427077448752,0.975933322697466,31.4711552893051,31.9771562093176,32.8306665738381,33.4722425525502,32.8121861899613,31.1435142682906,32.0130398961455,33.6029641689814,31.6637437615637,31.5959203078782,30.7447959673855
"alanine pos",0.567738551529597,1.72041985311999,92.0409020856084,52.8433002413957,67.6889965272131,56.1288891165109,36.6740828096791,60.2282437723377,2.79503721444952,6.70623387749626,3.39428381062219,3.80824132397242,0,0,6.0174365082976,2.66823024604948,0,0,0,0,3.89337394548644,0,119.18670296752,126.811347001066,137.093477484316,141.910100841695,94.025431527495,172.044464010078,0,2.69949904604935,0,0,114.891827141056,80.8734726103919,90.0771558071765,147.849233543071,138.662923103702,125.441184218651,0,2.55838851255014,13.5165966227694,5.16195812799358,21.5334763272672,5.41779910753754,7.9835362910446,6.93471880243276,2.09100503803343,3.4300151786483,3.06071199872169,0,29.177797039815,33.4612443437183,31.2133113365221,41.688442924383,34.2870296065624,50.1315849990241,0,0,4.52862360965646,0,41.0010875496277,29.3407267814671,33.6156089759335,37.7316226960709,37.3049783299608,31.8648087928557,34.8648078678369,35.5989957361579,37.8509628772419,38.1135308719475,32.6260224312353
"amMP pos",0.0097955680441562,0.0296835395277461,0,0,0,0,0,0,0,0,0,0,91.1918070053355,82.1194617286242,77.4428746914,72.6221813091786,83.3629176492544,99.4485686098485,53.0559758231188,71.9009110713701,60.6708223977119,76.0204645136198,41.9551449194661,53.5464949546819,50.7937200051242,50.7227755177894,59.7285850880509,47.5102090315807,24.4015930426924,16.2219942020173,18.9366069848696,26.9494871854332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.8723293997534,124.069008485431,84.7020414012942,100.647602959198,100.127802643602,92.4740367217027,68.4891827079167,55.2139926114932,58.2944689554712,48.0761424706759,42.6655064092027,41.7276906256925,43.7568425694581,41.3441189186247,43.7477375726373,43.9160197680676,43.5849044567298,42.8955279437762,43.0750559529973,41.8672614711153,42.7356594681785
"arginine neg",0.224376677637628,0.67992932617463,118.739169930775,105.559601262343,104.921801831022,114.43503939235,93.8150254855843,133.530258542044,0,0,0,0,0,0,2.02330337472881,0,0,1.04018634178352,0,0,0.876428770703281,0,11.905793374951,13.2227311956946,16.8054526426675,14.7527864956978,13.6723407368976,14.1951493712169,0,0,0,0,0,0,0,0,1.61584447989023,1.35429944187032,0,0,17.5218839880744,16.418678472859,17.4455747589857,14.369180524064,17.3391273559624,17.2033577388211,0,0,0,0,22.4545111102295,24.9879641779397,23.8373987891773,25.2196088213722,25.4706293330342,22.1181978786412,0,0,0,0,17.5767776130937,17.5946974577494,18.4099959012265,17.1814520801653,17.9510183121604,17.2191116498731,16.249807347902,16.7613995670066,17.2725746006714,17.2908179363755,18.1543308120976
"arginine pos",0.226962773690656,0.687765980880777,111.142535026197,97.7281155444785,100.474684384102,112.991082391175,89.6962521522254,118.211229715037,0.179812614272088,1.06385281612283,0.228842411109419,0.364945662338893,0.0706352172308475,0.105358928760001,2.14336295066628,1.19437167384687,0.38236795980659,1.54937414298241,0.197846869424842,0.401119108539591,1.19556099554552,1.08652144293853,11.3927129975861,12.3569328962102,15.0756106167723,14.1615149732555,13.2379307967614,13.5859456475231,0.255206130052864,0.728020855561124,0.34460763409347,0.697426825426284,1.05703779601659,0.789977147843301,0.745308196603134,1.11729225587844,2.03755364825258,1.7224000786093,0,0,16.0400717437958,15.4816441589956,17.5232947088158,14.0773736121293,15.4860770839446,14.1886783620302,0,0.892778957632936,0.643744790258347,0.513538909520525,20.9339952367961,22.4740198102382,22.1429433456204,21.6867279064208,23.6926197567399,20.7603302774233,0.415595651497504,0.844421604907439,1.08737389489072,0.277777309563278,16.2184603134287,16.0788134003035,16.3252193674459,16.2007628088039,16.1759665255167,16.5873040122521,16.5376057326915,16.5166536325827,16.4459148811328,16.3478504982021,16.0439604179576
"asparagine neg",0.126895380739215,0.384531456785499,14.0664556823244,10.0275915024217,11.7251404119524,9.81384256613002,8.5194341704602,8.61190580971361,0,0.628773267379049,0.233950216583766,0.332559978154554,0,0.305877750383754,2.69972853432581,1.66330770587626,0.749448022026265,2.28867766955081,0,0.245089338143463,1.0613730170155,1.39775059151868,10.5004770715216,13.230422191514,15.6616218378583,16.2144692790042,12.7881119893088,23.64766422291,0.196145524428099,0.39640491335117,0,0.372402615789198,2.99144820549005,2.22657117243386,2.41363662080921,3.44950183377659,4.99710420773459,3.39073437280686,0,0,3.30165674460719,1.29596177728148,4.05241965958843,1.08245320461918,2.44508934631676,1.31069221113485,0.26473722037033,0.610820096029197,0.597809934465264,0.420317027553537,9.94128005315498,11.4836189651632,10.7999311561893,9.52715897972179,11.0298756148419,11.4264344407182,0,0.284471484905481,0.430754069359069,0,4.84314840470884,4.83763101558223,4.70473710557503,4.69414535410248,4.59142282649122,4.80266962285529,4.73462314458793,4.72980008864724,4.73812472435222,4.78022471071717,4.67200051897041
"asparagine pos",0.114149440409268,0.345907395179601,13.6716215747324,9.54105679617589,12.3505296839133,9.95989572560688,8.00415949231691,8.75251158898023,0.267556860703547,0.813761150316497,0.364506590691486,0.495658747722881,0.253201653057405,0.382846434435043,2.7692610968103,1.76086987970494,0.830568209011443,2.29880121268397,0.251457756499459,0.376607653508845,1.11008554854437,1.48816954633872,10.2900266686247,12.4847734939913,15.4863992642798,16.5899037700899,12.5327993392236,22.2701010036932,0.329145448727391,0.515421642626682,0.277097819817936,0.528297418484967,2.90147871831964,2.34266941934585,2.3762040747857,3.35193105394831,4.8265217657298,3.21797042656535,0.0540391276687924,0.151864170369718,3.50773881210723,1.35744449902031,4.0794527509737,1.17078614475957,2.32074510401607,1.34462126715278,0.415373378030178,0.775967985126841,0.636720940346496,0.563187409439627,9.89803266078525,10.7594627553978,10.7008825630467,9.49674407118219,10.6814376815919,11.1337024459809,0.219865251096738,0.41309159174996,0.555541618393737,0.226236778646703,4.57182409453402,4.69442704425559,4.57086815321131,4.64837789076861,4.49552952487009,4.60019339074161,4.61533024336048,4.71599012420279,4.516539911091,4.58691343113489,4.64368321412208
"aspartate neg",0.344519922020437,1.04399976369829,66.5170682466882,54.1427057689521,62.8189484633526,55.7873402821921,50.3426289966162,55.6176175656299,3.92085727979711,5.87393193274444,3.73229317024393,3.18859908654682,2.59906183568649,3.24513320233613,9.48902493380084,6.61149076897158,4.43523632643949,5.12338593677886,1.16862351413929,1.93581313600277,5.37002085070142,2.39047151153344,39.2584846148092,43.9153921273292,50.7373512406867,51.6165317811322,50.4988321072413,65.7916378711957,1.41184182719238,1.83245427472964,1.04089156728657,1.9883028772878,53.632569558785,41.0286823786987,41.4854840820171,56.8884289908882,123.28456366703,47.1199686837773,0.456480004808114,0.937537337201866,10.6070544679515,3.01815813100354,14.6863409065828,3.50070044354741,6.67713571526931,4.43576174246139,2.43212251104939,3.76942886607016,3.53414868393058,3.54129739977982,18.6155966302699,20.965384438078,20.6204119049233,21.1390487666829,21.1509969150004,21.8791223707903,3.66705475494829,4.04046148260533,3.06557064923846,1.95494070120312,23.7862645105111,22.2905584206566,22.8676774326843,22.2775776981021,21.7800300246401,22.9142204416488,22.5347027306384,21.9815315781447,23.5610163007275,23.0149142602149,22.4689817661595
"aspartate pos",0.330305142293388,1.00092467361633,60.0028032072594,43.5759023686457,59.9819353530797,49.2268207926803,52.0779361051079,47.9828771519255,3.80098534437145,6.07878645089647,3.61814342788077,3.26219178748334,2.80125116861656,3.26329593225757,9.45675064119775,6.59147528047704,4.13458910044431,5.23006965820923,1.55708819246639,2.26905711528223,5.19072103885726,2.75716848866989,32.9968273312072,38.5958310687346,51.9996045415673,46.9951042565571,47.5520273129732,91.0970207181472,1.82740143421836,2.16949533051134,1.42156151804508,2.46291425828273,47.0379040189816,39.5661099637709,38.0301736126901,55.3669787216691,110.261084262607,47.076007977557,0.905814573395288,1.51470939024866,10.2847174592044,3.22212183814508,12.9837711526324,3.49775025525333,6.35256893957224,4.27276067050855,2.74340485114434,3.89568255846399,3.60570311016799,3.76359787550368,16.6773575597084,18.7030128178438,18.7035910066614,17.6502206431615,19.3668722405388,19.3954833891492,3.58709103272834,3.72024508194846,3.45386532257615,2.34713064409492,21.3642082412796,20.3369642157502,20.781409724269,21.3880617505172,19.6677991558665,19.2455769899437,21.0338569003299,19.5214999977429,20.849154427862,19.7928743485551,19.8900987994672
